Product Name,Sales,Revenue %,Cumulative %,Class
Canon imageCLASS 2200 Advanced Copier,61599.82399999999,2.6815166694633503,2.6815166694633503,A
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,1.1950798240783684,3.8765964935417188,A
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,0.9854810866231156,4.862077580164835,A
HON 5400 Series Task Chairs for Big and Tall,21870.576,0.9520532739633331,5.814130854128168,A
GBC DocuBind TL300 Electric Binding System,19823.479000000003,0.8629406049156355,6.677071459043804,A
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,0.8281600589996089,7.505231518043413,A
Hewlett Packard LaserJet 3310 Copier,18839.686,0.8201148765693765,8.32534639461279,A
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,0.7998819483987288,9.12522834301152,A
GBC DocuBind P400 Electric Binding System,17965.068,0.7820416712561163,9.907270014267636,A
High Speed Automatic Electric Letter Opener,17030.311999999998,0.7413505842835156,10.648620598551153,A
Lexmark MX611dhe Monochrome Laser Printer,16829.900999999998,0.7326264451164327,11.381247043667585,A
Martin Yale Chadless Opener Electric Letter Opener,16656.199999999997,0.725065025346752,12.106312069014336,A
Ibico EPK-21 Electric Binding System,15875.916000000001,0.6910982959464288,12.797410364960765,A
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,0.6795646767240591,13.476975041684824,A
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,0.6224919312511716,14.099466972935996,A
Samsung Galaxy Mega 6.3,13943.668000000001,0.6069851461826045,14.7064521191186,A
Apple iPhone 5,12996.600000000002,0.5657581025937248,15.272210221712324,A
Bretford Rectangular Conference Table Tops,12995.2915,0.5657011419673114,15.837911363679636,A
Global Troy Executive Leather Low-Back Tilter,12975.382000000001,0.5648344567616738,16.40274582044131,A
Canon PC1060 Personal Laser Copier,11619.834,0.5058257726093017,16.908571593050613,A
SAFCO Arco Folding Chair,11572.779999999999,0.5037774536828559,17.412349046733468,A
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.439999999999,0.49209628097230085,17.90444532770577,A
Cubify CubeX 3D Printer Double Head Print,11099.963,0.4831951437868787,18.38764047149265,A
DMI Eclipse Executive Suite Bookcases,11046.609000000002,0.48087257805385747,18.868513049546507,A
Tennsco 6- and 18-Compartment Lockers,10925.004,0.4755789617183612,19.34409201126487,A
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,0.4711107412081793,19.81520275247305,A
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.527999999998,0.4630647752156425,20.27826752768869,A
Logitech P710e Mobile Speakerphone,10196.604,0.44387080712952487,20.722138334818215,A
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001,0.43172715853435734,21.153865493352573,A
Tennsco Double-Tier Lockers,9630.856,0.41924309564912277,21.573108589001695,A
Bush Advantage Collection Racetrack Conference Table,9544.724999999999,0.41549370649084283,21.988602295492537,A
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.29,0.40776974107421726,22.396372036566756,A
Bady BDG101FRU Card Printer,9279.884,0.4039648495860352,22.80033688615279,A
Tennsco Single-Tier Lockers,9158.296,0.39867197328160436,23.199008859434397,A
GuestStacker Chair with Chrome Finish Legs,9070.944,0.3948694324803358,23.59387829191473,A
Canon Imageclass D680 Copier / Fax,8959.872000000001,0.3900343306866905,23.983912622601423,A
Hewlett Packard 610 Color Digital Copier / Printer,8899.822,0.3874202797763945,24.371332902377816,A
Wilson Electronics DB Pro Signal Booster,8878.400000000001,0.38648775357155923,24.757820655949374,A
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.500000000002,0.38196485782501877,25.13978551377439,A
Global Deluxe High-Back Manager's Chair,8665.194000000001,0.37720663219969286,25.516992145974086,A
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997000000001,0.36701174658706015,25.884003892561147,A
Chromcraft Round Conference Tables,8209.059,0.3573505104350322,26.24135440299618,A
"Hot File 7-Pocket, Floor Stand",8138.232,0.35426732336053535,26.595621726356715,A
Fellowes PB300 Plastic Comb Binding Machine,8070.192000000001,0.3513054578495189,26.946927184206235,A
Cubify CubeX 3D Printer Triple Head Print,7999.98,0.34824904248709243,27.29517622669333,A
Ibico Ibimaster 300 Manual Binding System,7985.383,0.3476136169893807,27.64278984368271,A
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.4400000000005,0.3473549108351777,27.99014475451789,A
